Scheme Code;Scheme Name;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Equity Scheme - Multi Cap Fund )


PPFAS Mutual Fund
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.4647;;;03-Sep-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.4734;;;04-Sep-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.5741;;;05-Sep-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.8446;;;06-Sep-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.9814;;;09-Sep-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;25.0192;;;11-Sep-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;25.1136;;;12-Sep-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;25.2526;;;13-Sep-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;25.2016;;;16-Sep-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.8168;;;17-Sep-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.8143;;;18-Sep-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;24.6349;;;19-Sep-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;25.3923;;;20-Sep-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;25.9521;;;23-Sep-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;25.9185;;;24-Sep-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;25.5572;;;25-Sep-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;25.6510;;;26-Sep-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;25.5831;;;27-Sep-2019
122640;Parag Parikh Long Term Equity Fund - Regular Plan - Growth;INF879O01019;;25.4039;;;30-Sep-2019

Open Ended Schemes ( Equity Scheme - ELSS )


PPFAS Mutual Fund
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.0129;;;26-Jul-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;9.9960;;;29-Jul-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;9.8873;;;30-Jul-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;9.9519;;;31-Jul-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;9.9112;;;01-Aug-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;9.9597;;;02-Aug-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;9.9061;;;05-Aug-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;9.9866;;;06-Aug-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;9.9756;;;07-Aug-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.0622;;;08-Aug-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.1431;;;09-Aug-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;9.9811;;;13-Aug-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;9.9837;;;14-Aug-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.0136;;;16-Aug-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.0424;;;19-Aug-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.0663;;;20-Aug-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.0533;;;21-Aug-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.0088;;;22-Aug-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.0068;;;23-Aug-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.1087;;;26-Aug-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.1330;;;27-Aug-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.0743;;;28-Aug-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.0400;;;29-Aug-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.0822;;;30-Aug-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.0193;;;03-Sep-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.0306;;;04-Sep-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.0537;;;05-Sep-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.1540;;;06-Sep-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.2241;;;09-Sep-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.2869;;;11-Sep-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.2829;;;12-Sep-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.3383;;;13-Sep-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.3292;;;16-Sep-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.1619;;;17-Sep-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.1573;;;18-Sep-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.0663;;;19-Sep-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.3966;;;20-Sep-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.6491;;;23-Sep-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.6379;;;24-Sep-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.4821;;;25-Sep-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.5259;;;26-Sep-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.4959;;;27-Sep-2019
147481;Parag Parikh Tax Saver Fund- Direct Growth;INF879O01100;;10.4420;;;30-Sep-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;10.0120;;;26-Jul-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;9.9941;;;29-Jul-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;9.8851;;;30-Jul-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;9.9494;;;31-Jul-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;9.9086;;;01-Aug-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;9.9568;;;02-Aug-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;9.9024;;;05-Aug-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;9.9826;;;06-Aug-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;9.9717;;;07-Aug-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;10.0580;;;08-Aug-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;10.1385;;;09-Aug-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;9.9754;;;13-Aug-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;9.9780;;;14-Aug-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;10.0073;;;16-Aug-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;10.0350;;;19-Aug-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;10.0585;;;20-Aug-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;10.0452;;;21-Aug-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;10.0004;;;22-Aug-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;9.9980;;;23-Aug-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;10.0988;;;26-Aug-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;10.1226;;;27-Aug-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;10.0637;;;28-Aug-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;10.0291;;;29-Aug-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;10.0709;;;30-Aug-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;10.0067;;;03-Sep-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;10.0176;;;04-Sep-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;10.0404;;;05-Sep-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;10.1402;;;06-Sep-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;10.2091;;;09-Sep-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;10.2711;;;11-Sep-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;10.2668;;;12-Sep-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;10.3218;;;13-Sep-2019
147482;Parag Parikh Tax Saver Fund- Regular Growth;INF879O01092;;10.3115;;;16-Sep-2019
